id,name,group_id
6,اطلاعات و صورتهای مالی میاندوره ای,1
30,زمانبندی پرداخت سود,1
32,گزارش فعالیت هیئت مدیره,1
38,نامه ها و گزارش های نهادهای مالی,1
74,مشمول اصل 44 - گزارش فعالیت هیات مدیره به مجمع,1
76,مشمول اصل 44 - اطلاعات و صورتهای مالی پایان دوره به همراه گزارش حسابرس و بازرس قانونی,1
79,گزارش هیات مدیره به مجمع,1
90,گزارش کنترل های داخلی,1
98,مشمول اصل 44 - اطلاعات صورت مالی تلفیقی پایان دوره به همراه گزارش حسابرسی و بازرس قانونی,1
100,مشمول اصل 44 - اطلاعات صورت مالی میان دوره ای,1
123,گزارش خالص ارزش هر واحد سرمایه گذاری به بهای تمام شده,1
124,گزارش خالص ارزش هر واحد سرمایه گذاری به ارزش روز,1
125,گزارش عملکرد مدیر صندوق,1
180,اظهارنامه مالیاتی,1
181,عدم فعالیت شرکت با اعلام به حوزه مالیاتی,1
205,شرکت های دولتی - گزارش فعالیت هیات مدیره به مجمع,1
207,شرکت های دولتی - اطلاعات و صورتهای مالی پایان دوره به همراه گزارش حسابرس و بازرس قانونی,1
211,شرکت های دولتی - اطلاعات صورت مالی تلفیقی پایان دوره به همراه گزارش حسابرسی و بازرس قانونی,1
213,شرکت های دولتی - اطلاعات صورت مالی میان دوره ای,1
257,شرکت های دولتی - اطلاعات صورت مالی میان دوره ای حسابرسی شده,1
2225,زمانبندی پرداخت سود سنوات گذشته,1
1,اولین پیش بینی درآمد هر سهم,2
2,پیش بینی درآمد هر سهم,2
11,افشای اطلاعات با اهمیت,2
96,مشمول اصل 44 - پیش بینی بودجه سالانه,2
128,شفاف سازی در خصوص شایعه، خبر یا گزارش منتشر شده,2
147,شفاف سازی در خصوص نوسان قیمت سهام,2
148,اطلاعات حاصل از برگزاری کنفرانس اطلاع رسانی,2
149,درخواست ارایه مهلت جهت رعایت ماده  19 مکرر 1/ 12 مکرر 4 دستورالعمل اجرایی نحوه انجام معاملات,2
156,برنامه ناشر جهت خروج از شمولیت ماده 141 لایحه قانونی اصلاحی قسمتی از قانون تجارت,2
174,توضیحات در خصوص اطلاعات و صورت های مالی منتشر شده,2
209,شرکت های دولتی - پیش بینی بودجه سالانه,2
8,صورت وضعیت پورتفوی,3
58,گزارش فعالیت ماهانه,3
95,مشمول اصل 44 - صورت وضعیت پورتفو سرمایه گذاری ها در سهام و سهم الشرکه,3
151,صورت وضعیت پرتفوی صندوق,3
208,شرکت های دولتی - صورت وضعیت پورتفو سرمایه گذاری ها در سهام و سهم الشرکه,3
59,مشمول اصل 44 - اساسنامه شرکت ,4
61,مشمول اصل 44 - تغییرات اساسنامه شرکت,4
73,مشمول اصل 44 - تصمیمات مجمع عمومی فوق العاده,4
120,اساسنامه شرکت مصوب مجمع عمومی فوق العاده,4
152,امیدنامه پذیرش در بورس اوراق بهادار تهران /فرابورس ایران,4
191,شرکت های دولتی - اساسنامه شرکت,4
192,شرکت های دولتی - تغییرات اساسنامه شرکت,4
19,معرفی یا تغییر در ترکیب اعضای هیئت‌مدیره,5
60,مشخصات کمیته حسابرسی و واحد حسابرسی داخلی,5
75,مشمول اصل 44 - معرفی با تغییر ترکیب هیات مدیره ,5
81,آگهی ثبت مصوبات مجمع و هیات مدیره در روزنامه رسمی,5
91,مشمول اصل 44 - مشخصات شرکت و مدیران ,5
206,شرکت های دولتی - معرفی با تغییر ترکیب هیات مدیره,5
16,آگهی دعوت به مجمع عمومی عادی سالیانه,6
17,آگهی دعوت به مجمع عمومی عادی بطور فوق العاده,6
18,آگهی دعوت به مجمع عمومی فوق العاده,6
20,تصمیمات مجمع عمومی عادی سالیانه,6
21,تصمیمات مجمع عمومی عادی به‌طور فوق‌العاده,6
22,تصمیمات مجمع عمومی فوق‌العاده,6
26,لغو  آگهی (اطلاعیه) دعوت به مجمع عمومی,6
52,آگهی دعوت به مجمع عمومی عادی سالیانه نوبت دوم,6
64,مشمول اصل 44 - دعوت به مجمع عمومی عادی سالیانه,6
65,مشمول اصل 44 - دعوت به مجمع عمومی عادی سالیانه نوبت دوم,6
66,مشمول اصل 44 - دعوت به مجمع عادی به طور فوق العاده نوبت دوم,6
67,مشمول اصل 44 - دعوت به مجمع عادی به طور فوق العاده,6
68,مشمول اصل 44 - دعوت به مجمع عمومی فوق العاده,6
69,مشمول اصل 44 - تصمیمات مجمع عادی به طور فوق العاده,6
70,مشمول اصل 44 - تصمیمات مجمع عمومی عادی سالیانه,6
71,مشمول اصل 44 - تصمیمات مجمع عمومی عادی سالیانه نوبت دوم ,6
72,مشمول اصل 44 - تصمیمات مجمع عادی به طور فوق العاده نوبت دوم ,6
97,مشمول اصل 44 - تصمیمات مجمع عمومی فوق العاده نوبت دوم,6
99,مشمول اصل 44 - دعوت به مجمع عمومی فوق العاده نوبت دوم,6
101,مشمول اصل 44 - درخواست ثبت صورتجلسه نزد مرجع ثبت شرکتها,6
121,آگهی دعوت به مجمع صندوق سرمایه گذاری,6
122,تصمیمات مجمع صندوق سرمایه گذاری,6
154,لغو آگهی دعوت به مجمع صندوق سرمایه گذاری,6
159,آگهی ثبت تصمیمات مجمع عادی سالیانه,6
160,آگهی ثبت تصمیمات مجمع عمومی عادی بطور فوق العاده,6
161,آگهی ثبت تصمیمات مجمع عمومی فوق العاده (بجز تغییرات سرمایه),6
162,آگهی ثبت تصمیمات مجمع عمومی مؤسس,6
166,مجوز بانک مرکزی جهت برگزاری مجمع عمومی عادی سالیانه,6
195,شرکت های دولتی - دعوت به مجمع عمومی عادی سالیانه,6
196,شرکت های دولتی - دعوت به مجمع عمومی عادی سالیانه نوبت دوم,6
197,شرکت های دولتی - دعوت به مجمع عادی به طور فوق العاده نوبت دوم,6
198,شرکت های دولتی - دعوت به مجمع عمومی عادی به طور فوق العاده,6
199,شرکت های دولتی - دعوت به مجمع عمومی فوق العاده,6
200,شرکت های دولتی - تصمیمات مجمع عادی به طور فوق العاده,6
201,شرکت های دولتی - تصمیمات مجمع عمومی عادی سالیانه,6
202,شرکت های دولتی - تصمیمات مجمع عمومی عادی سالیانه نوبت دوم ,6
203,شرکت های دولتی - تصمیمات مجمع عادی به طور فوق العاده نوبت دوم,6
204,شرکت های دولتی - تصمیمات مجمع عمومی فوق العاده,6
210,شرکت های دولتی - تصمیمات مجمع عمومی فوق العاده نوبت دوم,6
212,شرکت های دولتی - دعوت به مجمع عمومی فوق العاده نوبت دوم,6
214,شرکت های دولتی - درخواست ثبت صورتجلسه نزد مرجع ثبت شرکتها,6
2020,خلاصه تصمیمات مجمع عمومی عادی سالیانه,6
2121,خلاصه تصمیمات مجمع عمومی عادی به‌طور فوق‌العاده,6
2222,خلاصه تصمیمات مجمع عمومی فوق‌العاده,6
23,زمان تشکیل جلسه هیئت‌مدیره در خصوص افزایش سرمایه,7
24,تصمیمات هیئت‌مدیره در خصوص افزایش سرمایه,7
25,مهلت استفاده از حق تقدم خرید سهام,7
27,اعلامیه پذیره نویسی عمومی,7
28,آگهی ثبت افزایش سرمایه,7
45,مدارک و مستندات درخواست افزایش سرمایه,7
53,اطلاعیه تکمیلی صدور مجوز افزایش سرمایه,7
54,لغو اطلاعیه زمان تشکیل جلسه هیات مدیره در خصوص افزایش سرمایه,7
55,پیشنهاد هیئت مدیره به مجمع عمومی فوق العاده در خصوص افزایش سرمایه,7
56,اظهارنظر حسابرس و بازرس قانونی نسبت به گزارش توجیهی هیئت مدیره در خصوص افزایش سرمایه,7
57,تصمیم هیئت مدیره به انجام افزایش سرمایه تفویض شده در مجمع فوق العاده,7
62,مشمول اصل 44 - گزارش توجیهی افزایش سرمایه به همراه گزارش حسابرس و بازرس قانونی,7
63,مشمول اصل 44 - آگهی ثبت افزایش سرمایه,7
80,گزارش توجیهی افزایش سرمایه,7
89,تمدید مهلت استفاده از مجوز افزایش سرمایه,7
119,نتایج حاصل از فروش حق تقدم های استفاده نشده,7
164,توزیع گواهی نامه نقل و انتقال و سپرده سهام,7
167,آگهی مطالبه مبلغ پرداخت نشده سرمایه,7
193,شرکت های دولتی - گزارش توجیهی افزایش سرمایه به همراه گزارش حسابرس و بازرس قانونی,7
194,شرکت های دولتی - آگهی ثبت افزایش سرمایه,7
243,اطلاع رسانی در خصوص علت تاخیر در ثبت افزایش سرمایه,7
244,اطلاع رسانی در خصوص علت تاخیر در انتشار اعلامیه پذیره نویسی عمومی,7
245,اطلاع رسانی در خصوص تغییرات در برنامه افزایش سرمایه شرکت,7
130,عدم پاسخگویی ناشر در خصوص علت تخطی از الزامات دستورالعمل پذیرش اوراق بهادار,8
131,تعلیق ورقه بهادار ناشر به علت عدم رعایت الزامات دستورالعمل پذیرش اوراق بهادار,8
132,اعطای فرصت به ناشر جهت رعایت دستورالعمل پذیرش اوراق بهادار,8
133,تمدید فرصت اعطا شده به ناشر جهت رعایت دستورالعمل پذیرش اوراق بهادار,8
134,تعلیق ورقه بهادار ناشر بعد از فرصت اعطا شده,8
135,لغو پذیرش اوراق بهادار,8
138,عدم پاسخگویی ناشر در خصوص علت نوسان قیمت سهام,8
139,عدم پاسخگویی ناشر در خصوص لزوم برگزاری کنفرانس اطلاع رسانی و افشای اهم مطالب مطرح شده,8
146,لغو پذیرش اوراق بهادار تعلیق شده,8
150,ضرورت برگزاری کنفرانس اطلاع رسانی,8
157,اعطای مهلت توسط هیئت پذیرش اوراق بهادار جهت خروج ناشر از شمولیت ماده 141 لایحه قانونی اصلاحی قسمتی از قانون تجارت,8
168,تعلیق نماد معاملاتی ناشر به استناد بند 6 ماده 13مکرر 2 دستورالعمل اجرایی نحوه انجام معاملات اوراق بهادار در فرابورس ایران,8
169,تعلیق نماد معاملاتی ناشر به استناد بند 7 ماده 13مکرر2 دستورالعمل اجرایی نحوه انجام معاملات اوراق بهادار در فرابورس ایران	,8
170,ادامه تعلیق نماد معاملاتی ناشر به استناد بند 7 ماده 13مکرر 2 دستورالعمل اجرایی نحوه انجام معاملات اوراق بهادار در فرابورس ایران,8
171,بازگشایی نماد معاملاتی ناشر پس از اتمام دوره تعلیق و عدم رفع ,8
172,عدم پاسخگویی ناشر در خصوص شایعه، خبر یا گزارش منتشر شده - فرابورس,8
178,شمول ماده 141 لایحه قانونی اصلاح قسمتی از قانون تجارت برای سومین سال متوالی/ چهارمین سال متناوب طی 5 سال گذشته,8
34,رتبه بندی شرکتهای از نظر کیفیت افشا و اطلاع رسانی,9
36,وضعیت شرکتها از نظر تعداد روزهای گشایش و معاملاتی,9
129,عدم پاسخگویی ناشر در خصوص شایعه، خبر یا گزارش منتشر شده,9
136,توقف نماد معاملاتی ناشر به استناد ماده 16 مکرر / 12 مکرر دستورالعمل اجرایی نحوه انجام معاملات ,9
137,بازگشایی نماد معاملاتی ناشر به استناد ماده 16 مکرر/ 12 مکرر دستورالعمل اجرایی نحوه انجام معاملات ,9
140,توقف نماد معاملاتی ناشر به استناد ماده  19 مکرر/ 12 مکرر 3 دستورالعمل اجرایی نحوه انجام معاملات ,9
141,تعلیق نماد معاملاتی ناشر به استناد ماده  19 مکرر 1/  12 مکرر 4 دستورالعمل اجرایی نحوه انجام معاملات ,9
142,عدم پاسخگویی ناشر در خصوص لزوم رعایت ماده 19 مکرر 1/ 12 مکرر 4دستورالعمل اجرایی نحوه انجام معاملات,9
143,ادامه تعلیق نماد معاملاتی پیرو درخواست ناشر/ به منظور بررسی بیشتر اطلاعات ناشر,9
144,تداوم تعلیق نماد معاملاتی ناشر به استناد ماده 19 مکرر 1/ 12 مکرر 4 دستورالعمل اجرایی نحوه انجام معاملات,9
145,بازگشایی نماد معاملاتی ناشر پس از پایان مهلت مقرر تعلیق نماد,9
153,خروج شرکت ازشرایط معامله تحت احتیاط,9
155,سهام شناور آزاد شرکت های پذیرفته شده در بورس و فرابورس,9
158,تعلیق نماد معاملاتی ناشر پس از پایان اعطا شده جهت معامله در شرایط معامله تحت احتیاط,9
219,شرکتهای بخش عمومی و سایر - تغییرات اساسنامه شرکت,9
248,مشخصات کمیته انتصابات,9
0,نامه ,10
12,سایر,10
105,مشمول اصل 44 - سایر موارد,10
163,تغییر نشانی,10
165,درخواست تکمیل مشخصات سهامداران,10
188,آگهی دعوت از داوطلبین جهت عضویت در هیات مدیره,10
189,گزارش ارزشیابی سهام,10
190,افشای جزییات زمین و ساختمان,10
215,شرکت های دولتی - سایر موارد,10
217,جزییات هزینه های انرژی,10
46,ثبت اوراق مشارکت,11
47,ثبت اوراق مرابحه,11
48,ثبت اوراق اجاره,11
93,ثبت اوراق رهنی,11
94,ثبت اوراق سفارش ساخت,11
